Tool,Mode,Repeat,Time (sec),Failures
MCJit,Serial,1,134.47,20
MCJit,Serial,2,136.35,20
MCJit,Serial,3,142.45,20
MCJit,Serial,4,137.07,20
MCJit,Serial,5,144.94,20
MCJit,Multithreading,1,52.699562311172485
MCJit,Multithreading,2,60.58261823654175
MCJit,Multithreading,3,53.97505736351013
MCJit,Multithreading,4,56.386879682540894
MCJit,Multithreading,5,53.52746891975403
MCJit,RoadRunnerMap,1,30.22,20
MCJit,RoadRunnerMap,2,34.92,20
MCJit,RoadRunnerMap,3,35.25,20
MCJit,RoadRunnerMap,4,40.7,20
MCJit,RoadRunnerMap,5,32.46,20
LLJit,Serial,1,48.51,20
LLJit,Serial,2,38.57,20
LLJit,Serial,3,38.07,20
LLJit,Serial,4,38.09,20
LLJit,Serial,5,38.27,20
LLJit,Multithreading,1,34.580451250076294
LLJit,Multithreading,2,33.66169810295105
LLJit,Multithreading,3,30.164960622787476
LLJit,Multithreading,4,32.074339151382446
LLJit,Multithreading,5,32.43431615829468
LLJit,RoadRunnerMap,1,22.11,20
LLJit,RoadRunnerMap,2,25.44,20
LLJit,RoadRunnerMap,3,25.91,20
LLJit,RoadRunnerMap,4,24.67,20
LLJit,RoadRunnerMap,5,25.26,20
RoadRunner v1.6.1,Serial,1,142.58917140960693
RoadRunner v1.6.1,Serial,2,151.32360291481018
RoadRunner v1.6.1,Serial,3,149.48247933387756
RoadRunner v1.6.1,Serial,4,150.19932913780212
RoadRunner v1.6.1,Serial,5,156.40406203269958
